,region,date,ano,trimestre,fgt0,fgt1,fgt2,a25,a50,a75,ingreso_promedio,ingreso_mediana,salario_minimo,kaitz_indice,time,kaitz_pre,treated,event_time,event_id,unit_id
32,Los Ríos,2001-07-01,2001,3,0.943267068595574,0.708438547808274,0.575806418201126,0.112517012511627,0.223532565732403,0.330816525760235,24.5283546145332,14.8524674222534,85.65,5.76671859058725,3,6.90482112703926,1,1,0,Los Ríos_e0
33,Los Ríos,2001-10-01,2001,4,0.929803439237438,0.6801906254345,0.540601885842654,0.113205580063988,0.224475438879862,0.33397357855126,27.8580208396391,15.7263226281763,85.65,5.44628277220663,4,6.90482112703926,1,2,0,Los Ríos_e0
34,Los Ríos,2002-01-01,2002,1,0.604461940274015,0.395071591550017,0.342534244349584,0.157724966323139,0.365552329562375,0.694688731090837,69.3076459089417,57.170389013049,104.88,1.83451611595753,5,6.90482112703926,1,3,0,Los Ríos_e0
35,Los Ríos,2002-04-01,2002,2,0.585803167331739,0.385893456867876,0.333703658573886,0.153975000446504,0.358638839474682,0.687561603239771,70.3237278765227,57.5771024000623,104.88,1.82155745301776,6,6.90482112703926,1,4,0,Los Ríos_e0
36,Manabí,2001-01-01,2001,1,0.872976474630719,0.592299846043555,0.44862999519781,0.162235257471912,0.298292652237867,0.408565454748509,50.9918225866957,24.7588603785394,85.65,3.45936762397352,1,3.45936762397352,0,-1,0,Manabí_e0
37,Manabí,2001-04-01,2001,2,0.790850921907211,0.57257511195236,0.434105118567853,0.182631223156059,0.33939643961068,0.464880984113147,68.8320458564057,24.9579395827457,85.65,3.43177367330487,2,3.45936762397352,0,0,0,Manabí_e0
38,Manabí,2001-07-01,2001,3,0.859204608371964,0.515538462214654,0.357691851767855,0.116474732843863,0.216911164301308,0.302530289971119,54.508170594807,30.1308384632957,85.65,2.84260260809986,3,3.45936762397352,0,1,0,Manabí_e0
39,Manabí,2001-10-01,2001,4,0.865932739125013,0.498152755009805,0.344379282233936,0.119180665520484,0.223629871075291,0.313931842167155,58.2673195920857,35.2964476755385,85.65,2.42658980267179,4,3.45936762397352,0,2,0,Manabí_e0
40,Manabí,2002-01-01,2002,1,0.622009314307069,0.481296663470137,0.426354463524844,0.218686994297279,0.469216658505926,0.79077140487345,78.9085855073781,36.3536690279967,104.88,2.88499078096436,5,3.45936762397352,0,3,0,Manabí_e0
41,Manabí,2002-04-01,2002,2,0.624158371958819,0.48061254777929,0.426382439538391,0.218284780969603,0.468775759825956,0.790625812390622,79.4818892995785,37.023923106241,104.88,2.83276301376935,6,3.45936762397352,0,4,0,Manabí_e0
42,Pichincha,2001-01-01,2001,1,0.786716884432077,0.492672227822013,0.362426751928389,0.156253476480362,0.282208624842233,0.389325963986205,58.5344320894182,31.9279875862938,85.65,2.68259938928215,1,2.68259938928215,0,-1,0,Pichincha_e0
43,Pichincha,2001-04-01,2001,2,0.665548006491262,0.381034344995272,0.282128180494586,0.101817527985088,0.212137110104372,0.334266982155062,65.3591231964108,53.5935041094894,85.65,1.59814144313125,2,2.68259938928215,0,0,0,Pichincha_e0
44,Pichincha,2001-07-01,2001,3,0.759102114083039,0.452048386586035,0.316477777360498,0.144621014692324,0.264052537814999,0.365931481227452,68.7275691352381,36.9918402189897,85.65,2.31537548532208,3,2.68259938928215,0,1,0,Pichincha_e0
45,Pichincha,2001-10-01,2001,4,0.781676855054279,0.473028816718199,0.334450441949982,0.146284471145675,0.263547498188019,0.360672582986856,64.5487924204035,33.3117747747308,85.65,2.57116291699268,4,2.68259938928215,0,2,0,Pichincha_e0
46,Pichincha,2002-01-01,2002,1,0.417896747951246,0.329177407064273,0.307485021130896,0.193942741741316,0.416439102308676,0.730377823975869,149.767088683566,96.2476702768524,104.88,1.08968871348592,5,2.68259938928215,0,3,0,Pichincha_e0
47,Pichincha,2002-04-01,2002,2,0.42154077242685,0.333208633307962,0.311156698989109,0.195583501685881,0.419415919144276,0.733557591847545,149.386075397781,96.8729007307188,104.88,1.08265571908019,6,2.68259938928215,0,4,0,Pichincha_e0
48,Sierra,2001-01-01,2001,1,0.954881530349669,0.733112095666996,0.598299393510688,0.116105902458009,0.217587574409205,0.307019642955035,23.4745327224244,13.9964906957203,85.65,6.11939105751625,1,6.11939105751625,1,-1,0,Sierra_e0
49,Sierra,2001-04-01,2001,2,0.905890047727132,0.683735042927809,0.571005262148394,0.152296981216063,0.292617078367189,0.417614097621895,30.1533301853679,12.1865043821641,85.65,7.02826645886701,2,6.11939105751625,1,0,0,Sierra_e0
50,Sierra,2001-07-01,2001,3,0.955630937464756,0.706593174709959,0.569545348488658,0.117304175384568,0.218040523523322,0.307025034353793,26.0230263316822,16.8031521640449,85.65,5.0972578932703,3,6.11939105751625,1,1,0,Sierra_e0
51,Sierra,2001-10-01,2001,4,0.951692165952614,0.717263869476782,0.580847646457782,0.125420765920452,0.231234431143516,0.322588435500803,26.0806116181184,16.2314133862717,85.65,5.27680479584369,4,6.11939105751625,1,2,0,Sierra_e0
52,Sierra,2002-01-01,2002,1,0.55210977710585,0.426154650120565,0.38842705260045,0.196837647153871,0.439828543373625,0.775706898321536,92.607568817932,58.9281328725859,104.88,1.77979506370533,5,6.11939105751625,1,3,0,Sierra_e0
53,Sierra,2002-04-01,2002,2,0.555617476828328,0.43323367704295,0.395461526991322,0.199614403894104,0.445592259383134,0.782627922512539,91.9307016524602,55.8434776270918,104.88,1.87810653019071,6,6.11939105751625,1,4,0,Sierra_e0
54,Amazonía,2001-01-01,2001,1,0.936483579038847,0.622431811668628,0.457419247766508,0.0690758911552907,0.135124081277731,0.197941260761801,31.6347743485746,24.105217634119,85.65,3.55317264917655,1,3.25723241173509,0,-2,1,Amazonía_e1
55,Amazonía,2001-04-01,2001,2,0.976945857629657,0.637632565647104,0.480712188279369,0.0780075801143051,0.15365789886579,0.226438251245355,30.1702391269158,26.2953296459356,85.65,3.25723241173509,2,3.25723241173509,0,-1,1,Amazonía_e1
56,Amazonía,2001-07-01,2001,3,0.812079946880389,0.521296652427411,0.374610769140428,0.0668943005908383,0.133573717980953,0.199087272150939,40.9812716853727,28.0286869426006,85.65,3.05579780370735,3,3.25723241173509,0,0,1,Amazonía_e1
57,Amazonía,2001-10-01,2001,4,0.845352188212048,0.554143823749722,0.404344418372274,0.0687229969142656,0.136478525595716,0.202312613114369,37.9826692567987,26.0744866563208,85.65,3.28482018184766,4,3.25723241173509,0,1,1,Amazonía_e1
58,Amazonía,2002-01-01,2002,1,0.533354056977852,0.387240118006063,0.34503546137822,0.177629595201492,0.40053557825482,0.727386547005782,95.7904091557142,62.4726304666013,104.88,1.67881517420769,5,3.25723241173509,0,2,1,Amazonía_e1
59,Amazonía,2002-04-01,2002,2,0.524673116167748,0.373709859435275,0.330651896176333,0.171384273942355,0.387270211974394,0.709627229152408,99.3184543180039,64.9893177702894,104.88,1.6138036772552,6,3.25723241173509,0,3,1,Amazonía_e1
60,Amazonía,2002-07-01,2002,3,0.518649851548883,0.374617609694913,0.331499486152883,0.170859622092246,0.386757308099008,0.709687571361823,100.753786916649,65.5125420986646,104.88,1.60091482699674,7,3.25723241173509,0,4,1,Amazonía_e1
61,Azuay,2001-01-01,2001,1,0.910082730460853,0.619318130631,0.464148780973482,0.0870684498011931,0.17244237445506,0.255116821087737,32.750890975907,25.305750382159,85.65,3.38460621426127,1,2.90191559693195,0,-2,1,Azuay_e1
62,Azuay,2001-04-01,2001,2,0.852846088064482,0.540101615474984,0.406061126600126,0.103237951963855,0.207140721407456,0.308689166877976,43.6567686524915,29.5149866145499,85.65,2.90191559693195,2,2.90191559693195,0,-1,1,Azuay_e1
63,Azuay,2001-07-01,2001,3,0.882105096048196,0.562444095611153,0.401520866033254,0.0860443702336462,0.168719158569423,0.248655203816089,39.8613844586091,34.2732332188525,85.65,2.49903472640238,3,2.90191559693195,0,0,1,Azuay_e1
64,Azuay,2001-10-01,2001,4,0.90358262801466,0.589062235907401,0.427210097432369,0.0799484084407097,0.158776666347194,0.235968533407024,36.6109985633589,31.3248565238512,85.65,2.73425035274415,4,2.90191559693195,0,1,1,Azuay_e1
65,Azuay,2002-01-01,2002,1,0.523640091892472,0.408439498565763,0.372076998633288,0.202971058068114,0.44474121517133,0.775112393451737,105.916754126556,61.9417188120979,104.88,1.69320454794218,5,2.90191559693195,0,2,1,Azuay_e1
66,Azuay,2002-04-01,2002,2,0.514357271900889,0.402522188788292,0.366905795564815,0.199912387038973,0.439100832826796,0.769118844189285,108.150125078218,64.1310205894736,104.88,1.63540201038396,6,2.90191559693195,0,3,1,Azuay_e1
67,Azuay,2002-07-01,2002,3,0.512636048917773,0.399243244425352,0.364162030332251,0.199362540122005,0.437179438767258,0.765876483374491,108.266089156093,69.7705479486835,104.88,1.50321307605524,7,2.90191559693195,0,4,1,Azuay_e1
68,"Costa, Santo Domingo",2001-01-01,2001,1,0.999999902458578,0.607767938946389,0.40806109252999,0.0367796888331226,0.0762855924242417,0.11807800809579,30.9118978994297,28.9839807022762,85.65,2.95508063160123,1,2.93150917056158,0,-2,1,"Costa, Santo Domingo_e1"
69,"Costa, Santo Domingo",2001-04-01,2001,2,1.00000002358977,0.632230788736796,0.39971576079755,-3.14530215206332e-08,-4.71795325029945e-08,-9.4359067226435e-08,29.2170329399284,29.2170329399284,85.65,2.93150917056158,2,2.93150917056158,0,-1,1,"Costa, Santo Domingo_e1"
70,"Costa, Santo Domingo",2001-07-01,2001,3,0.850289377259933,0.545850506112013,0.391571618972512,0.365018131297083,0.643397994170511,0.806235535952697,364.146748592122,43.037924712635,85.65,1.99010525186534,3,2.93150917056158,0,0,1,"Costa, Santo Domingo_e1"
71,"Costa, Santo Domingo",2001-10-01,2001,4,0.850289377259933,0.545850506112013,0.391571618972512,0.365018131297085,0.64339799417051,0.806235535952698,367.211023535508,43.4000864917038,85.65,1.97349837116966,4,2.93150917056158,0,1,1,"Costa, Santo Domingo_e1"
72,"Costa, Santo Domingo",2002-01-01,2002,1,0.640625220234963,0.481707089607522,0.425698573695471,0.18947754778889,0.43066132775941,0.770572538857768,63.1430688638444,33.9155713647197,104.88,3.09238487749908,5,2.93150917056158,0,2,1,"Costa, Santo Domingo_e1"
73,"Costa, Santo Domingo",2002-04-01,2002,2,0.606045534659045,0.459332533069369,0.409962574901513,0.181104715810344,0.415903266768077,0.755900847590314,67.06248552756,39.8863233650065,104.88,2.62947274032318,6,2.93150917056158,0,3,1,"Costa, Santo Domingo_e1"
74,"Costa, Santo Domingo",2002-07-01,2002,3,0.608911912275125,0.457635696925895,0.401200259357343,0.176958766602107,0.406496689901601,0.743626033082846,67.6390372856596,44.0073929951935,104.88,2.38323592609667,7,2.93150917056158,0,4,1,"Costa, Santo Domingo_e1"
75,El Oro,2001-01-01,2001,1,0.987753689203225,0.621533986929961,0.455383540717255,0.0626371289608455,0.128013897716719,0.196099700768728,30.0646559746861,22.334029272707,85.65,3.83495512404775,1,5.28724568168835,1,-2,1,El Oro_e1
76,El Oro,2001-04-01,2001,2,0.999999901138363,0.673539262307103,0.528481103153261,0.0892474971720898,0.182515878523347,0.27777402896927,25.9353189510365,16.1993607175542,85.65,5.28724568168835,2,5.28724568168835,1,-1,1,El Oro_e1
77,El Oro,2001-07-01,2001,3,0.958172755075835,0.687197363051457,0.534948982091626,0.181631264500375,0.3013209727937,0.386561802623183,34.0166060506993,22.694866540528,85.65,3.77398121496102,3,5.28724568168835,1,0,1,El Oro_e1
78,El Oro,2001-10-01,2001,4,0.947157423952521,0.634752686758764,0.473982704540394,0.174585564020904,0.289976831889461,0.371546836886012,40.9193170373218,23.0752853298307,85.65,3.71176342028913,4,5.28724568168835,1,1,1,El Oro_e1
79,El Oro,2002-01-01,2002,1,0.548102918355651,0.393897894867342,0.352681719762148,0.180416236387428,0.408708345322896,0.746199477543278,86.6766632654441,59.1453029859149,104.88,1.77326000045983,5,5.28724568168835,1,2,1,El Oro_e1
80,El Oro,2002-04-01,2002,2,0.550935652969209,0.400974818490882,0.360665331150426,0.184282923535391,0.416704504785287,0.755826484891737,87.1412039781636,59.0523330733493,104.88,1.77605175852625,6,5.28724568168835,1,3,1,El Oro_e1
81,El Oro,2002-07-01,2002,3,0.526513657162238,0.384403002854267,0.346591759908925,0.177542724341776,0.403107437188077,0.739747771645973,89.669550916971,64.7000766758679,104.88,1.62101817166963,7,5.28724568168835,1,4,1,El Oro_e1
82,Guayas,2001-01-01,2001,1,0.877116481166211,0.629989952636532,0.497456130942146,0.161460296791638,0.298978922395811,0.419228092014525,38.4533996724308,19.7533621605645,85.65,4.33597072254317,1,4.49435104517179,1,-2,1,Guayas_e1
83,Guayas,2001-04-01,2001,2,0.878380948638558,0.650976265864699,0.523235306715124,0.131236218448966,0.258222929704038,0.379693679378687,32.6300525193436,19.0572563511727,85.65,4.49435104517179,2,4.49435104517179,1,-1,1,Guayas_e1
84,Guayas,2001-07-01,2001,3,0.866065081251656,0.581673892687332,0.440114013153786,0.109252750270958,0.215848168180922,0.319944902808729,39.5424225780114,26.7378520658331,85.65,3.20332387916259,3,4.49435104517179,1,0,1,Guayas_e1
85,Guayas,2001-10-01,2001,4,0.868769756306847,0.593609852526089,0.456709032936152,0.105365056605912,0.21130815037769,0.316582555517503,37.1451180222827,26.8566486281965,85.65,3.18915443195236,4,4.49435104517179,1,1,1,Guayas_e1
86,Guayas,2002-01-01,2002,1,0.576359192101016,0.405877650379662,0.35994405366795,0.217839684451471,0.451439983892877,0.761449020965367,94.5864586494765,59.5150043521248,104.88,1.76224468336539,5,4.49435104517179,1,2,1,Guayas_e1
87,Guayas,2002-04-01,2002,2,0.576414393696218,0.405370689511487,0.35932223323219,0.21724388408342,0.450712936941242,0.760877800718481,96.2084063942425,60.1304667112936,104.88,1.74420731679273,6,4.49435104517179,1,3,1,Guayas_e1
88,Guayas,2002-07-01,2002,3,0.563052623043755,0.395170201903215,0.350798411872236,0.213222018869933,0.44336749062571,0.752916945580049,98.2737121728074,61.8546566604444,104.88,1.69558778049236,7,4.49435104517179,1,4,1,Guayas_e1
89,Los Ríos,2001-01-01,2001,1,0.923233557116186,0.68847115778916,0.560615383827428,0.121109213742147,0.244325889583597,0.365723138027989,25.8382755367628,12.404376366043,85.65,6.90482112703926,1,2.80830094703723,0,-2,1,Los Ríos_e1
90,Los Ríos,2001-04-01,2001,2,0.905345001679573,0.616979308496612,0.469657522183778,0.0833200798437996,0.166965232671585,0.248102870521618,31.5459575492085,30.4988680398948,85.65,2.80830094703723,2,2.80830094703723,0,-1,1,Los Ríos_e1
91,Los Ríos,2001-07-01,2001,3,0.943267068595574,0.708438547808274,0.575806418201126,0.112517012511627,0.223532565732403,0.330816525760235,24.5283546145332,14.8524674222534,85.65,5.76671859058725,3,2.80830094703723,0,0,1,Los Ríos_e1
92,Los Ríos,2001-10-01,2001,4,0.929803439237438,0.6801906254345,0.540601885842654,0.113205580063988,0.224475438879862,0.33397357855126,27.8580208396391,15.7263226281763,85.65,5.44628277220663,4,2.80830094703723,0,1,1,Los Ríos_e1
93,Los Ríos,2002-01-01,2002,1,0.604461940274015,0.395071591550017,0.342534244349584,0.157724966323139,0.365552329562375,0.694688731090837,69.3076459089417,57.170389013049,104.88,1.83451611595753,5,2.80830094703723,0,2,1,Los Ríos_e1
94,Los Ríos,2002-04-01,2002,2,0.585803167331739,0.385893456867876,0.333703658573886,0.153975000446504,0.358638839474682,0.687561603239771,70.3237278765227,57.5771024000623,104.88,1.82155745301776,6,2.80830094703723,0,3,1,Los Ríos_e1
95,Los Ríos,2002-07-01,2002,3,0.589269961236596,0.387959319506461,0.337302945274459,0.155318682554154,0.362096003756871,0.69298140360337,71.1965183235665,58.5072832930664,104.88,1.79259733313287,7,2.80830094703723,0,4,1,Los Ríos_e1
96,Manabí,2001-01-01,2001,1,0.872976474630719,0.592299846043555,0.44862999519781,0.162235257471912,0.298292652237867,0.408565454748509,50.9918225866957,24.7588603785394,85.65,3.45936762397352,1,3.43177367330487,1,-2,1,Manabí_e1
97,Manabí,2001-04-01,2001,2,0.790850921907211,0.57257511195236,0.434105118567853,0.182631223156059,0.33939643961068,0.464880984113147,68.8320458564057,24.9579395827457,85.65,3.43177367330487,2,3.43177367330487,1,-1,1,Manabí_e1
98,Manabí,2001-07-01,2001,3,0.859204608371964,0.515538462214654,0.357691851767855,0.116474732843863,0.216911164301308,0.302530289971119,54.508170594807,30.1308384632957,85.65,2.84260260809986,3,3.43177367330487,1,0,1,Manabí_e1
99,Manabí,2001-10-01,2001,4,0.865932739125013,0.498152755009805,0.344379282233936,0.119180665520484,0.223629871075291,0.313931842167155,58.2673195920857,35.2964476755385,85.65,2.42658980267179,4,3.43177367330487,1,1,1,Manabí_e1
100,Manabí,2002-01-01,2002,1,0.622009314307069,0.481296663470137,0.426354463524844,0.218686994297279,0.469216658505926,0.79077140487345,78.9085855073781,36.3536690279967,104.88,2.88499078096436,5,3.43177367330487,1,2,1,Manabí_e1
101,Manabí,2002-04-01,2002,2,0.624158371958819,0.48061254777929,0.426382439538391,0.218284780969603,0.468775759825956,0.790625812390622,79.4818892995785,37.023923106241,104.88,2.83276301376935,6,3.43177367330487,1,3,1,Manabí_e1
102,Manabí,2002-07-01,2002,3,0.609035520680691,0.474038212240639,0.421486149397179,0.215928755976395,0.464929614400431,0.787711495727081,80.5335111107342,38.0191737892778,104.88,2.75860807973629,7,3.43177367330487,1,4,1,Manabí_e1
103,Pichincha,2001-01-01,2001,1,0.786716884432077,0.492672227822013,0.362426751928389,0.156253476480362,0.282208624842233,0.389325963986205,58.5344320894182,31.9279875862938,85.65,2.68259938928215,1,1.59814144313125,0,-2,1,Pichincha_e1
104,Pichincha,2001-04-01,2001,2,0.665548006491262,0.381034344995272,0.282128180494586,0.101817527985088,0.212137110104372,0.334266982155062,65.3591231964108,53.5935041094894,85.65,1.59814144313125,2,1.59814144313125,0,-1,1,Pichincha_e1
105,Pichincha,2001-07-01,2001,3,0.759102114083039,0.452048386586035,0.316477777360498,0.144621014692324,0.264052537814999,0.365931481227452,68.7275691352381,36.9918402189897,85.65,2.31537548532208,3,1.59814144313125,0,0,1,Pichincha_e1
106,Pichincha,2001-10-01,2001,4,0.781676855054279,0.473028816718199,0.334450441949982,0.146284471145675,0.263547498188019,0.360672582986856,64.5487924204035,33.3117747747308,85.65,2.57116291699268,4,1.59814144313125,0,1,1,Pichincha_e1
107,Pichincha,2002-01-01,2002,1,0.417896747951246,0.329177407064273,0.307485021130896,0.193942741741316,0.416439102308676,0.730377823975869,149.767088683566,96.2476702768524,104.88,1.08968871348592,5,1.59814144313125,0,2,1,Pichincha_e1
108,Pichincha,2002-04-01,2002,2,0.42154077242685,0.333208633307962,0.311156698989109,0.195583501685881,0.419415919144276,0.733557591847545,149.386075397781,96.8729007307188,104.88,1.08265571908019,6,1.59814144313125,0,3,1,Pichincha_e1
109,Pichincha,2002-07-01,2002,3,0.411558181888964,0.322006306717351,0.300113419671694,0.191091864928387,0.410546563073409,0.722872681438541,153.246043882943,98.1261855475856,104.88,1.06882785073857,7,1.59814144313125,0,4,1,Pichincha_e1
110,Sierra,2001-01-01,2001,1,0.954881530349669,0.733112095666996,0.598299393510688,0.116105902458009,0.217587574409205,0.307019642955035,23.4745327224244,13.9964906957203,85.65,6.11939105751625,1,7.02826645886701,1,-2,1,Sierra_e1
111,Sierra,2001-04-01,2001,2,0.905890047727132,0.683735042927809,0.571005262148394,0.152296981216063,0.292617078367189,0.417614097621895,30.1533301853679,12.1865043821641,85.65,7.02826645886701,2,7.02826645886701,1,-1,1,Sierra_e1
112,Sierra,2001-07-01,2001,3,0.955630937464756,0.706593174709959,0.569545348488658,0.117304175384568,0.218040523523322,0.307025034353793,26.0230263316822,16.8031521640449,85.65,5.0972578932703,3,7.02826645886701,1,0,1,Sierra_e1
113,Sierra,2001-10-01,2001,4,0.951692165952614,0.717263869476782,0.580847646457782,0.125420765920452,0.231234431143516,0.322588435500803,26.0806116181184,16.2314133862717,85.65,5.27680479584369,4,7.02826645886701,1,1,1,Sierra_e1
114,Sierra,2002-01-01,2002,1,0.55210977710585,0.426154650120565,0.38842705260045,0.196837647153871,0.439828543373625,0.775706898321536,92.607568817932,58.9281328725859,104.88,1.77979506370533,5,7.02826645886701,1,2,1,Sierra_e1
115,Sierra,2002-04-01,2002,2,0.555617476828328,0.43323367704295,0.395461526991322,0.199614403894104,0.445592259383134,0.782627922512539,91.9307016524602,55.8434776270918,104.88,1.87810653019071,6,7.02826645886701,1,3,1,Sierra_e1
116,Sierra,2002-07-01,2002,3,0.560048011655237,0.429654076563107,0.390786271045552,0.197997032599724,0.442377293491,0.779471535341853,92.4266588952843,56.2930694535339,104.88,1.86310679126444,7,7.02826645886701,1,4,1,Sierra_e1
117,Amazonía,2001-01-01,2001,1,0.936483579038847,0.622431811668628,0.457419247766508,0.0690758911552907,0.135124081277731,0.197941260761801,31.6347743485746,24.105217634119,85.65,3.55317264917655,1,3.05579780370735,0,-3,2,Amazonía_e2
118,Amazonía,2001-04-01,2001,2,0.976945857629657,0.637632565647104,0.480712188279369,0.0780075801143051,0.15365789886579,0.226438251245355,30.1702391269158,26.2953296459356,85.65,3.25723241173509,2,3.05579780370735,0,-2,2,Amazonía_e2
119,Amazonía,2001-07-01,2001,3,0.812079946880389,0.521296652427411,0.374610769140428,0.0668943005908383,0.133573717980953,0.199087272150939,40.9812716853727,28.0286869426006,85.65,3.05579780370735,3,3.05579780370735,0,-1,2,Amazonía_e2
120,Amazonía,2001-10-01,2001,4,0.845352188212048,0.554143823749722,0.404344418372274,0.0687229969142656,0.136478525595716,0.202312613114369,37.9826692567987,26.0744866563208,85.65,3.28482018184766,4,3.05579780370735,0,0,2,Amazonía_e2
121,Amazonía,2002-01-01,2002,1,0.533354056977852,0.387240118006063,0.34503546137822,0.177629595201492,0.40053557825482,0.727386547005782,95.7904091557142,62.4726304666013,104.88,1.67881517420769,5,3.05579780370735,0,1,2,Amazonía_e2
122,Amazonía,2002-04-01,2002,2,0.524673116167748,0.373709859435275,0.330651896176333,0.171384273942355,0.387270211974394,0.709627229152408,99.3184543180039,64.9893177702894,104.88,1.6138036772552,6,3.05579780370735,0,2,2,Amazonía_e2
123,Amazonía,2002-07-01,2002,3,0.518649851548883,0.374617609694913,0.331499486152883,0.170859622092246,0.386757308099008,0.709687571361823,100.753786916649,65.5125420986646,104.88,1.60091482699674,7,3.05579780370735,0,3,2,Amazonía_e2
124,Amazonía,2002-10-01,2002,4,0.553815894633453,0.415395679527745,0.371320912683537,0.191475707096714,0.42721479685563,0.757240840108036,98.8267678197279,58.5829143644889,104.88,1.79028307378943,8,3.05579780370735,0,4,2,Amazonía_e2
125,Azuay,2001-01-01,2001,1,0.910082730460853,0.619318130631,0.464148780973482,0.0870684498011931,0.17244237445506,0.255116821087737,32.750890975907,25.305750382159,85.65,3.38460621426127,1,2.49903472640238,0,-3,2,Azuay_e2
126,Azuay,2001-04-01,2001,2,0.852846088064482,0.540101615474984,0.406061126600126,0.103237951963855,0.207140721407456,0.308689166877976,43.6567686524915,29.5149866145499,85.65,2.90191559693195,2,2.49903472640238,0,-2,2,Azuay_e2
127,Azuay,2001-07-01,2001,3,0.882105096048196,0.562444095611153,0.401520866033254,0.0860443702336462,0.168719158569423,0.248655203816089,39.8613844586091,34.2732332188525,85.65,2.49903472640238,3,2.49903472640238,0,-1,2,Azuay_e2
128,Azuay,2001-10-01,2001,4,0.90358262801466,0.589062235907401,0.427210097432369,0.0799484084407097,0.158776666347194,0.235968533407024,36.6109985633589,31.3248565238512,85.65,2.73425035274415,4,2.49903472640238,0,0,2,Azuay_e2
129,Azuay,2002-01-01,2002,1,0.523640091892472,0.408439498565763,0.372076998633288,0.202971058068114,0.44474121517133,0.775112393451737,105.916754126556,61.9417188120979,104.88,1.69320454794218,5,2.49903472640238,0,1,2,Azuay_e2
130,Azuay,2002-04-01,2002,2,0.514357271900889,0.402522188788292,0.366905795564815,0.199912387038973,0.439100832826796,0.769118844189285,108.150125078218,64.1310205894736,104.88,1.63540201038396,6,2.49903472640238,0,2,2,Azuay_e2
131,Azuay,2002-07-01,2002,3,0.512636048917773,0.399243244425352,0.364162030332251,0.199362540122005,0.437179438767258,0.765876483374491,108.266089156093,69.7705479486835,104.88,1.50321307605524,7,2.49903472640238,0,3,2,Azuay_e2
132,Azuay,2002-10-01,2002,4,0.623574502096917,0.483431312704418,0.437128891277675,0.241980058612743,0.503647946162535,0.829469797999709,70.6657912454415,45.2815996131013,104.88,2.31617259319733,8,2.49903472640238,0,4,2,Azuay_e2
133,"Costa, Santo Domingo",2001-01-01,2001,1,0.999999902458578,0.607767938946389,0.40806109252999,0.0367796888331226,0.0762855924242417,0.11807800809579,30.9118978994297,28.9839807022762,85.65,2.95508063160123,1,1.99010525186534,0,-3,2,"Costa, Santo Domingo_e2"
134,"Costa, Santo Domingo",2001-04-01,2001,2,1.00000002358977,0.632230788736796,0.39971576079755,-3.14530215206332e-08,-4.71795325029945e-08,-9.4359067226435e-08,29.2170329399284,29.2170329399284,85.65,2.93150917056158,2,1.99010525186534,0,-2,2,"Costa, Santo Domingo_e2"
135,"Costa, Santo Domingo",2001-07-01,2001,3,0.850289377259933,0.545850506112013,0.391571618972512,0.365018131297083,0.643397994170511,0.806235535952697,364.146748592122,43.037924712635,85.65,1.99010525186534,3,1.99010525186534,0,-1,2,"Costa, Santo Domingo_e2"
136,"Costa, Santo Domingo",2001-10-01,2001,4,0.850289377259933,0.545850506112013,0.391571618972512,0.365018131297085,0.64339799417051,0.806235535952698,367.211023535508,43.4000864917038,85.65,1.97349837116966,4,1.99010525186534,0,0,2,"Costa, Santo Domingo_e2"
137,"Costa, Santo Domingo",2002-01-01,2002,1,0.640625220234963,0.481707089607522,0.425698573695471,0.18947754778889,0.43066132775941,0.770572538857768,63.1430688638444,33.9155713647197,104.88,3.09238487749908,5,1.99010525186534,0,1,2,"Costa, Santo Domingo_e2"
138,"Costa, Santo Domingo",2002-04-01,2002,2,0.606045534659045,0.459332533069369,0.409962574901513,0.181104715810344,0.415903266768077,0.755900847590314,67.06248552756,39.8863233650065,104.88,2.62947274032318,6,1.99010525186534,0,2,2,"Costa, Santo Domingo_e2"
139,"Costa, Santo Domingo",2002-07-01,2002,3,0.608911912275125,0.457635696925895,0.401200259357343,0.176958766602107,0.406496689901601,0.743626033082846,67.6390372856596,44.0073929951935,104.88,2.38323592609667,7,1.99010525186534,0,3,2,"Costa, Santo Domingo_e2"
140,"Costa, Santo Domingo",2002-10-01,2002,4,0.624742063147788,0.459600536823805,0.400590883824078,0.176325692272217,0.403599338723875,0.737577920183144,67.0860321109427,44.3777127967578,104.88,2.36334847810504,8,1.99010525186534,0,4,2,"Costa, Santo Domingo_e2"
141,El Oro,2001-01-01,2001,1,0.987753689203225,0.621533986929961,0.455383540717255,0.0626371289608455,0.128013897716719,0.196099700768728,30.0646559746861,22.334029272707,85.65,3.83495512404775,1,3.77398121496102,1,-3,2,El Oro_e2
142,El Oro,2001-04-01,2001,2,0.999999901138363,0.673539262307103,0.528481103153261,0.0892474971720898,0.182515878523347,0.27777402896927,25.9353189510365,16.1993607175542,85.65,5.28724568168835,2,3.77398121496102,1,-2,2,El Oro_e2
143,El Oro,2001-07-01,2001,3,0.958172755075835,0.687197363051457,0.534948982091626,0.181631264500375,0.3013209727937,0.386561802623183,34.0166060506993,22.694866540528,85.65,3.77398121496102,3,3.77398121496102,1,-1,2,El Oro_e2
144,El Oro,2001-10-01,2001,4,0.947157423952521,0.634752686758764,0.473982704540394,0.174585564020904,0.289976831889461,0.371546836886012,40.9193170373218,23.0752853298307,85.65,3.71176342028913,4,3.77398121496102,1,0,2,El Oro_e2
